Calculated optimized lattice constant using variable cell approach:

Structure              a              c                  a/c
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
   Co2Ru2     3.696361554     3.636944216  0.983925452873
   Hf2Hg2     4.454584915     4.293729750  0.963889976716
   Al2Zn2     4.006080756     3.991044037   0.99624652624
   Ni2Re2     3.675522326     3.829596311   1.04191893596
   Cr2Rh2     3.756235540     3.700728891  0.985222798621
   Sn2Hf2     4.546648527     4.276519649  0.940587253139
   Co2Nb2     3.962645526     3.615601693  0.912421176529
   Ag2Pt2     3.978743731     4.299019409   1.08049668429
   Sc2Os2     4.388547715     3.459088215  0.788207953893
   Zn2Ta2     4.021164651     3.999659226    0.9946519412
   Mn2Pt2     4.196524520     3.500929855  0.834245061196
   La2Hg2     5.580582727     3.957340687  0.709126784888
   Mn2Zn2     3.908924621     3.637036571  0.930444284206
   Co2In2     4.424723164     3.139078555  0.709440667507
   Au2Bi2     4.944676381     4.082042657  0.825542935972
   Cu2Hf2     4.561971421     3.260229118  0.714653560299
   Tc2In2     4.623155612     3.279354346  0.709332460601
   Zn2Hg2     5.036419478     3.671630548  0.729016032925
    Ag2Y2     5.167714073     3.664972501  0.709205743435
   Cr2Bi2     4.755284806     3.364705973  0.707571914253
   Ta2Hg2     4.153380881     4.487807767   1.08051919522
   Sc2Cu2     4.606760069     3.272129705  0.710288718316
   Fe2Mo2     3.777436158     3.728337561  0.987002137178
   Nb2Rh2     4.062049975     3.884025839  0.956173819353
   Fe2Cu2     3.596144046     3.757944259   1.04499269521
   Mo2Tc2     3.964984023     3.888426287  0.980691539851
    W2Hg2     4.003595132     4.589538597   1.14635432547
   Nb2Tc2     4.507622483     3.189304392  0.707535824934
   Cu2Ag2     4.043005435     3.779388287  0.934796736676
   Co2Tc2     3.653489813     3.729727666   1.02086713167
    Y2Hg2     5.300453635     3.745242487  0.706589047826
    V2Pb2     4.795196625     3.420570822  0.713332755568
   Pd2Cd2     4.369044870     3.760571720  0.860730853515
   Mn2Ta2     4.300122264     3.191012248  0.742074771854
   Al2Sn2     4.679242539     4.148157440  0.886501908253
   La2Nb2     4.392941283     5.237564938   1.19226836886
   Al2Ag2     4.116515791     4.085751898  0.992526715659
   Pd2Bi2     5.006672599     3.544612861  0.707977761859
   Zn2Ir2     4.296252377     3.051900900  0.710363505724
   Nb2In2     4.188511655     4.516036056   1.07819589104
