Calculated optimized lattice constant using scipy fmin approach:

Structure              a              c                  a/c
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
   Co2Ru2   3.70246071853   3.62548094865  0.979208484375
   Hf2Hg2   4.41751760996   4.38779679196  0.993272054438
   Al2Zn2   4.00518755498   3.98940447917  0.996059341643
   Ni2Re2   3.70222298278   3.80170917539   1.02687201529
   Cr2Rh2   3.75310541107    3.7039671732  0.986907312082
   Sn2Hf2    4.5414810739    4.2848543932  0.943492733643
   Co2Nb2   3.95192927788   3.63170681702  0.918970599334
   Ag2Pt2   3.98078663222   4.30967392033   1.08261866774
   Sc2Os2   4.56654557669   3.20933138516  0.702791931289
   Zn2Ta2   4.02363644613     3.993676422  0.992553993252
   Mn2Pt2   4.19513108166   3.50979933341  0.836636392306
   La2Hg2   5.58059654213   3.96387738897  0.710296356141
   Mn2Zn2   3.88785679718   3.70222652079  0.952253828761
   Co2In2   4.44123470907   3.13903031968  0.706792260555
   Cu2Hf2   4.55177858091   3.29084769636  0.722980619084
   Tc2In2   4.62254193341   3.29089540526  0.711923321122
   Zn2Hg2   4.99448675519   3.83162533945  0.767170988184
    Ag2Y2   5.18090455726   3.66664188027  0.707722336852
   Ta2Hg2   4.15259267357   4.48838107824    1.0808623506
   Sc2Cu2    4.6023777827   3.29089551547  0.715042456497
   Fe2Mo2    3.7730898382   3.73272704522  0.989302456419
   Nb2Rh2   4.05853267619   3.88659612353  0.957635784561
   Fe2Cu2   3.59961350225   3.75556225823   1.04332375014
   Mo2Tc2   3.95638043446   3.90392783249  0.986742275461
    W2Hg2   4.00521071735    4.5854258078   1.14486505989
   Nb2Tc2   4.51970080004   3.15372654838  0.697773301355
   Cu2Ag2   4.04334436342   3.79038407384  0.937437856674
   Co2Tc2   3.65223037206    3.7302867692   1.02137225454
    Y2Hg2   5.21041333527   3.83374878326  0.735785922646
    V2Pb2   4.82845320199   3.35500409236  0.694840345761
   Pd2Cd2   4.38810714586   3.75757144246   0.85630804298
   Mn2Ta2   4.33082427988   3.06382066605  0.707445157792
   Al2Sn2   4.80691486094    3.9691459609  0.825715885495
   La2Nb2   4.40349516547   5.21024337145   1.18320633398
   Al2Ag2     4.113571488   4.11397458003   1.00009799077
   Zn2Ir2   4.30171564235   3.05042784828  0.709118896249
   Nb2In2    4.1992865329   4.51363082368   1.07485659488
   Au2Tl2   5.48474492441   3.55139960167  0.647504970717
   Mn2Ru2   4.25416039564   2.99737046022  0.704573918579
   Ru2Ir2   3.84399590067    3.8564258619   1.00323360418
   Cu2Zr2   4.63169785412   3.29199031958  0.710752390001
   Tc2Au2   3.84201738835   4.38781349598   1.14205977029
    Ti2Y2   4.63255744075   4.46265226041  0.963323675418
   Ni2In2   4.49320075537   3.15343168221  0.701823010788
   Mo2Cd2    3.9225661183   4.66718707375   1.18983005843
   Hf2Re2    4.6220646041   3.29089602549  0.711996976972
    Mn2W2    4.2754799706    2.9774209866  0.696394558523
   Al2Pb2   4.96250329438   4.20634270288  0.847625170878
   Ti2Tl2   4.39425071806   4.23544508936  0.963860589919
   Cr2Fe2   3.56275617047   3.47697872714  0.975923852426
   Mn2Hg2   4.73004636711   3.47839092541  0.735381993208
   Ga2Pb2   4.98132543158   4.39056551154  0.881405074181
   Zr2Pb2   4.71144730755   4.38779542157   0.93130520945
   Fe2In2   4.13925212034   3.99336106161  0.964754246785
   Al2Ga2   4.11355957818    4.2347511087   1.02946147448
    Y2Tl2   5.16046717708   4.17628647627  0.809284573075
   Mn2In2   4.28703672533   3.99460949613   0.93178802797
    In2Y2   5.02285685763   4.26040948412  0.848204439202
   Os2Au2   3.95543560772   4.11367430065   1.04000537706
   Fe2Tc2   3.70222693745   3.71773867212   1.00418983896
   Ti2Ga2   3.98306163759   3.97182516012  0.997178934575
   Ni2Pd2   3.87558788532   3.62320661504   0.93487922923
    Y2Pb2   5.07709437183   4.45305358891  0.877087023164
   Mo2Pt2   3.86759772625   4.14661394904    1.0721419968
    Co2V2   3.67620396913   3.48323802442  0.947509456404
   Ti2Ni2   4.31738317994   2.94528388757   0.68219191228
   Pd2Re2   3.81221232446   4.13569614705   1.08485461854
   Re2Hg2   3.94866684784   4.61760868953   1.16940954187
   Sc2Zn2   4.74669420587   3.35295723028  0.706377340705
   Rh2Sn2   4.64383708242   3.29458413523  0.709452996898
    Cd2Y2   5.21048552377   3.88449972799   0.74551588528
   Ga2Rh2   4.31276668153   3.04602517385  0.706281002145
   Ni2Zr2   4.55548596408   3.20807645506    0.7042226626
   Zn2Ga2   4.13394888615    4.1135658366  0.995069351337
   Mo2Ru2   3.93844464405   3.83889408497  0.974723382432
   Ga2Zr2   4.38779531379   3.99156292626  0.909696702058
   Os2Ir2   3.85137987241   3.89889746053   1.01233780871
   Cu2Ir2   3.79537262022   3.77721269735  0.995215246384
   Nb2Ag2   3.94989585657   4.59684374883   1.16378859488
   Cd2Sn2   4.67140371438   4.93924696163   1.05733678004
   Rh2Re2   3.81747592283   3.96924057138   1.03975523399
   Zr2Ir2   4.43536874304   3.65613843101  0.824314424082
   Ag2Cd2   4.52855416957   3.96691100738  0.875977377953
   Mn2Mo2   3.70268989044   4.11618351781   1.11167384783
   Tc2Pd2   3.80968028403   4.11361007934   1.07977829441
   Cr2Cd2   3.82678684935   4.41883368403   1.15471121282
   Sn2Hg2   4.76359662578   4.93627368778   1.03624930395
    Pd2Y2   4.99915927927    3.5287776669  0.705874221998
   Co2Zr2   4.52916198204   3.19427022986  0.705267385562
   Cu2Nb2   3.92553794969   3.94987937227   1.00620078646
   Al2Hg2    4.5336241497   4.22751881556  0.932481095911
   Mn2Nb2   4.33598885624   3.06682867468  0.707296253833
   Ag2Hg2   4.60055627704   4.12626929136  0.896906600611
   Al2La2   5.21050466134    3.9806486551  0.763966048171
   Ru2Os2   3.83657287677   3.84489557028   1.00216930416
   Ni2Hg2   4.52961979084   3.15362330809  0.696222520589
   Rh2Ir2   3.86097359305   3.87166836814   1.00276996846
   Nb2Hf2   4.16212882854   4.69342363823   1.12764977529
   Al2Ni2   4.11406255768   2.87356919747  0.698474842612
   Rh2Ta2   4.07121920944   3.86456066784  0.949239151476
    Cu2W2   3.75666904275   4.01971866536   1.07002203804
    V2Tc2   4.27357515441   3.02647172417  0.708182637445
   Cr2Pt2   3.75617477259   3.88863425291   1.03526446141
    Al2V2   3.76518108598   4.01431068447   1.06616669764
   Pd2Ag2   4.07619259063     4.122912255   1.01146159396
    Ag2W2   3.81819973579     4.604974269   1.20605902982
   Cd2In2    4.7122683449   4.93630899071   1.04754411876
   Sc2Zr2   4.51739536257   4.58591408457   1.01516774967
    V2Hf2   4.64332750579   3.29115580225   0.70879251962
    Pd2W2   3.86733670641   4.16694980656   1.07747272164
   Al2Rh2   4.25284260153   3.01060265659  0.707903616162
   Fe2Pt2   3.88192226781   3.77472492409  0.972385499677
   Cd2Pb2   4.93645373675   4.79416159149  0.971175229659
   Ti2Ir2   4.16930224388   3.48584924449  0.836074969045
    Zr2W2   3.93640492272   4.93626946469   1.25400449435
   Co2Mn2   3.98917253297   2.90330369262  0.727795969872
   Cd2Au2    4.6778351667    3.7022814835  0.791451889937
   Ru2Hf2   4.61933970722   3.15372703892  0.682722475247
   Nb2Cd2   4.05188781508   4.70798117248   1.16192288319
   Sn2Ta2    4.6585494423   3.70614652963  0.795558054183
   Os2Hg2   4.01733107597   4.41950299374   1.10010922928
   Cd2Ta2   4.06218863928   4.66311207684   1.14793095322
   Ti2Pt2   4.00631688695   3.89503515635  0.972223432709
    V2Ag2   3.78056218889   4.42287899003   1.16989981094
    Zr2Y2   4.68640889439   4.93636047095   1.05333541784
   Ga2Re2   3.86512361039   4.00393859692   1.03591475992
   Fe2Tl2   4.38782931686   4.07479496931  0.928658494908
   Mo2Ta2   4.56683316261   3.23455562123  0.708271028535
   Ag2Ta2   4.01650518526   4.43546571645   1.10430971998
   Zr2Ru2   4.63170703342   3.27916376686  0.707981688652
   Fe2Au2   3.99504581368   3.90351942793  0.977090028496
   Zr2Ta2   4.08948375684   4.93627104926   1.20706459367
   In2Os2   4.60157931756   3.26568496205  0.709687856425
   Pt2Hg2   4.38779520016    3.9186313774  0.893075268704
   Ga2Ta2   4.02775707232   4.11363917926   1.02132256375
   Co2Ni2   3.49883508854    3.6190569969   1.03436055296
   Cr2Hf2   4.57283681421   3.15364054235  0.689646420915
   Mo2Pd2   3.85895558556   4.15586300481   1.07693983843
    V2Cr2   3.40059166988   4.38780561311   1.29030652282
   Re2Au2    3.8558343763   4.38781292967   1.13796716909
   Cu2Re2   3.64885761857   4.11356090052   1.12735582764
   Ni2Ga2   4.12597345033   2.95461144833  0.716100450936
   Co2Sc2   4.41746335898   3.11779396318  0.705788301977
    Tc2W2   4.42514450378   3.13931863725  0.709427372274
   Co2Mo2   3.74619949179   3.70839121247  0.989907563812
   Rh2Au2   3.98879981677    4.1140424245   1.03139856937
   Sn2Pb2   5.02249117731   4.96339514362  0.988233720757
   Zn2Zr2   4.72975186002   3.34433357751  0.707084362243
   Ga2Hg2   5.10759307634   3.81037446136  0.746021541734
   Sc2Mo2   3.95769735163   4.69620136793   1.18659941645
   Zn2Pd2   4.15315315408   3.42804512218  0.825407827499
   Ni2Au2   4.14681885536   3.42989535528  0.827114825825
   La2Ta2   4.38826913288   5.21025236599   1.18731376956
   Cr2Nb2   4.38781132244   3.10043220999  0.706601077885
   Zr2Re2   4.66684912386   3.30444884845   0.70806849777
   Co2Re2   3.70267423914   3.70803289011   1.00144723803
   Fe2Pb2   4.93629262838   3.35880753051  0.680431202802
   Ta2Re2   4.54347963204   3.15372554222  0.694121201728
   Mo2Os2   3.93622007583   3.89930971597  0.990622892229
   Cr2Zn2   3.52191992677   4.11697591067   1.16895784012
   Cd2Hg2   5.21041631128   4.11370138134  0.789514913124
   Mn2Re2   3.77393706343   3.70222904708  0.980999148861
   Cu2La2    5.2070651302   3.70366668851  0.711277196636
   Mo2Au2   3.89002379452   4.40864736727    1.1333214397
    V2Ga2    3.7600553564   3.98538939317   1.05992838281
   Re2Ir2   3.85817269992    3.9413933112   1.02156995494
   La2Au2   5.21050199709   3.97490485846   0.76286408885
   La2Pd2   5.21047275956   3.73506337165  0.716837712048
   Cr2Tl2   4.62410922841   3.29097140801  0.711698458114
    V2Ni2   3.57926119618   3.74614533797   1.04662530412
   Zn2Nb2    4.0326399874   3.99791479807  0.991388968656
   La2Hf2    4.8031689728   4.94032868227   1.02855608667
    La2W2   4.13496105347   5.34749144009   1.29323864746
   Cr2Mo2   3.60126337693   4.38779765591   1.21840509751
   Pd2Pt2   3.97579807794   3.99307361856   1.00434517556
   Cr2In2   4.03256328371   4.13695616687   1.02588747549
   Ti2Rh2   4.22359473222   3.38771507755  0.802092836158
   Hf2Ir2   4.39044443832   3.63872879044  0.828783700958
   Ru2Au2    3.9386864352   4.12766259991   1.04797948956
   Co2Ag2    3.8161748108   4.11673610328   1.07875983344
   Ru2Pd2   3.85280067267   3.98192811444   1.03351521471
   Cr2Ru2   3.78232979338   3.62829770101  0.959275869429
   Al2Os2   4.26479447935   3.02305886818    0.7088404571
    Y2Os2   4.84003748312   3.42798196188  0.708255250881
   Ru2Ta2   4.32520650536   3.42797019107  0.792556421716
   Co2Hg2   4.54114675115   3.15242445039  0.694191274394
   Sc2Re2   3.88072128328   4.60923490244   1.18772634415
   Ti2Cr2    4.2947895942   3.03846611439    0.7074772926
    Hf2Y2   4.63181831397   4.93649557775   1.06577919148
   Mn2Ni2    4.1951443355   2.88302418798  0.687228843018
   Co2Ti2   4.23325318452   2.98179006845  0.704373194439
   Co2Pd2   3.80690044058    3.7667806587  0.989461299946
   Cr2Re2   4.22636612472   2.98455550737  0.706175333441
    V2Ir2   3.88881477762   3.70222587892  0.952019083096
   Mn2Sn2   4.40545023474   4.06459739907  0.922629284748
   Ru2Sn2   4.59609089878    3.2498986759  0.707100609512
   Fe2Rh2   4.27557340018   3.02566591441  0.707663190692
   Ti2Pb2   4.57283580374    4.1423710411  0.905864811002
   Re2Pb2   4.77792203776   3.38655536202  0.708792511735
   Ga2Os2   4.30982278907   3.05878321483  0.709723662557
   Ag2Au2   4.18740460065   4.23079880886   1.01036303208
   Mo2In2    4.0845644448   4.46386046489   1.09286082402
   Cu2Ta2   3.96479870912   3.87028673401  0.976162226119
   Al2Au2   4.44520791834   3.43297238674   0.77228612245
    Fe2W2    3.8142390551   3.70227151662  0.970644855537
   Tc2Pb2   4.77272593807   3.37513087564   0.70717047646
    V2Rh2   3.87943831315   3.66775941328  0.945435683523
    Mo2Y2   4.17673861643   4.93629182292   1.18185318169
   Cd2Hf2   4.39774484957   4.42127488308   1.00535047719
   Tc2Ta2   4.51445091933   3.15372174729  0.698583682411
    V2Fe2    3.9405777404   3.04398529479  0.772471829088
   Mn2Ir2   4.04519844986   3.42809548382  0.847448036558
   Sc2Ag2   4.87530420265   3.48121355547   0.71405053116
   Ta2Pt2   4.00281330362   4.12068572285   1.02944739369
   Sc2Mn2   4.47526244118    3.1503527166  0.703948150082
   Os2Pt2   3.89041074903   3.96417467068   1.01896044567
    V2Re2   4.29134961828   3.04118948588  0.708679030235
    Sc2V2   3.94117670532    4.5839131389   1.16308236896
   La2In2     5.210442185   4.58624990002  0.880203586794
   Nb2Mo2   3.79355933653   4.80704769548   1.26716027589
    Sn2Y2   4.94527778165    4.3953890311  0.888805285602
   Sc2Hf2    4.4700244182   4.57286021978   1.02300564649
   Sc2Au2   4.93627460993   3.34414239063  0.677462794291
   Sc2Fe2   4.41435951134   3.12117197014  0.707049791056
   Hf2Pt2   4.64918297525   3.42798274635  0.737330142651
   Cr2Ni2   3.45378493318    3.7596619518   1.08856284469
   Ti2Os2   4.38779928028    3.0944706227   0.70524434347
    Ti2V2    3.7022055248   4.46902663591   1.20712548398
    Sc2Y2    4.9366678498   4.64742460571  0.941409215104
   Ga2Au2   4.61442185071   3.55746278631  0.770944421946
