Information for AB slab calculations:
0. Status of Co2Ru2: Successful
1. Status of Hf2Hg2: Successful
2. Status of Al2Zn2: Successful
3. Status of Ni2Re2: Successful
4. Status of Cr2Rh2: Successful
5. Status of Sn2Hf2: Successful
6. Status of Ag2Pt2: Successful
7. Status of Sc2Os2: Successful
8. Status of Zn2Ta2: Successful
9. Status of Mn2Pt2: Successful
10. Status of La2Hg2: Successful
11. Status of Mn2Zn2: Successful
12. Status of Co2In2: Successful
13. Status of Cu2Hf2: Successful
14. Status of Tc2In2: Successful
15. Status of Zn2Hg2: Successful
16. Status of Ag2Y2: Successful
17. Status of Ta2Hg2: Successful
18. Status of Sc2Cu2: Successful
19. Status of Nb2Rh2: Successful
20. Status of Fe2Cu2: Successful
21. Status of Mo2Tc2: Successful
22. Status of W2Hg2: Successful
23. Status of Nb2Tc2: Successful
24. Status of Cu2Ag2: Successful
25. Status of Y2Hg2: Successful
26. Status of V2Pb2: Successful
27. Status of Pd2Cd2: Successful
28. Status of Mn2Ta2: Successful
29. Status of Al2Sn2: Successful
30. Status of La2Nb2: Successful
31. Status of Al2Ag2: Successful
32. Status of Zn2Ir2: Successful
33. Status of Nb2In2: Successful
34. Status of Au2Tl2: Successful
35. Status of Mn2Ru2: Successful
36. Status of Ru2Ir2: Successful
37. Status of Cu2Zr2: Successful
38. Status of Tc2Au2: Successful
39. Status of Ti2Y2: Successful
40. Status of Ni2In2: Successful
41. Status of Mo2Cd2: Successful
42. Status of Hf2Re2: Successful
43. Status of Mn2W2: Successful
44. Status of Al2Pb2: Successful
45. Status of Ti2Tl2: Successful
46. Status of Cr2Fe2: Successful
47. Status of Mn2Hg2: Successful
48. Status of Ga2Pb2: Successful
49. Status of Zr2Pb2: Successful
50. Status of Fe2In2: Successful
51. Status of Al2Ga2: Successful
52. Status of Y2Tl2: Successful
53. Status of Mn2In2: Successful
54. Status of In2Y2: Successful
55. Status of Os2Au2: Successful
56. Status of Fe2Tc2: Successful
57. Status of Ti2Ga2: Successful
58. Status of Ni2Pd2: Successful
59. Status of Y2Pb2: Successful
60. Status of Mo2Pt2: Successful
61. Status of Co2V2: Successful
62. Status of Ti2Ni2: Successful
63. Status of Pd2Re2: Successful
64. Status of Re2Hg2: Successful
65. Status of Sc2Zn2: Successful
66. Status of Rh2Sn2: Successful
67. Status of Cd2Y2: Successful
68. Status of Ni2Zr2: Successful
69. Status of Zn2Ga2: Successful
70. Status of Mo2Ru2: Successful
71. Status of Ga2Zr2: Successful
